Image number,Square,Radius,Circumference,Alcohol concentration
3171,2026616.65,803.18,5482.06,0.0
3172,2026436.96,803.14,5482.06,0.0
3173,2036713.01,805.17,5484.84,0.0
3198,2091215.38,815.88,5542.86,0.0
3199,2091316.46,815.9,5540.08,0.0
3204,2269288.65,849.9,6220.17,0.0
3205,2203993.62,837.59,5799.06,0.0
3207,2203656.7,837.52,5795.14,0.0
3210,2121470.77,821.76,5637.65,0.0
3211,2121852.61,821.83,5637.65,0.0
3213,2032771.05,804.39,5591.48,0.0
3238,2094865.34,816.59,5619.56,0.0
3239,2094685.65,816.55,5619.56,0.0
3358,2235574.22,843.57,5991.45,0.0
3359,2235798.84,843.61,5991.45,0.0
3364,2343702.97,863.73,5933.9,0.0
3365,2185844.88,834.13,5767.49,0.0
3366,2185912.27,834.14,5767.49,0.0
3367,2185979.65,834.16,5767.49,0.0
3370,2277318.57,851.41,5944.69,0.0
3371,2277161.34,851.38,5944.69,0.0
3372,2277251.18,851.39,5944.69,0.0
3373,2164484.18,830.05,5887.85,0.0
3398,1950259.43,787.9,5411.19,0.0
3400,2083556.07,814.38,5721.33,0.0
3401,2083814.38,814.43,5728.03,0.0
3402,2084263.61,814.52,5728.03,0.0
3403,2035657.33,804.97,5574.75,0.0
3414,2058208.49,809.41,5511.65,0.0
3415,2027144.49,803.28,5464.25,0.0
3416,2027099.57,803.27,5464.25,0.0
3417,2027324.18,803.32,5464.25,0.0
3428,2180813.55,833.17,6538.51,0.0
3429,2181206.62,833.25,6545.22,0.0
344,729285.06,481.81,5018.92,0.0
345,706812.52,474.33,4793.81,0.0
346,707104.51,474.42,4789.89,0.0
347,707037.13,474.4,4789.89,0.0
350,723467.58,479.88,5292.17,0.0
351,723063.27,479.75,5311.13,0.0
352,722760.05,479.65,5304.43,0.0
353,785808.94,500.13,6732.18,0.0
3549,2052121.47,808.21,5479.01,0.0
3561,2131825.43,823.76,5716.17,0.0
3562,2131847.89,823.76,5716.17,0.0
3563,2175220.68,832.1,5863.51,0.0
